tweet,sentiment,language,tag
Kaya pa ba Pilipinas? #lambda #covid19ph @ Makati https://t.co/x7aip7OjSt,0,tl,Balita
"Ang sabi ni Muntinlupa City, Let's go vac to normal, ang sabi ko nmn lets go vacla to normal #COVID19PH #covidvacccine💉 @ Alabang Town Center https://t.co/3olOye3vFq",0,tl,Balita
DOH condemns Dr. Romeo F. Quijano. Who is Dr. Quijano and why is he giving an opposite view on the safety and effectiveness of Covid-19 vaccines? #COVID19PH💉,-1,en,Response
First dose. Salamat po. #Moderna #QCProtektodo #RESBAKUNA #BeatCOVID19 #WeHealAsOne #COVID19PH https://t.co/hsozEdFzBT,1,tl,Regulasyon
"I guess hindi ganun ka-bongga ang ECQ this season. Nag-run ako around ortigas and ang dami pa din pumapasok sa work. Baka prerog na lang ng company kung wfh and hindi na siya mandated. But still, keep safe tayong lahat! 🙏 #ECQ #COVID19PH",1,tl,Regulasyon
"Chaos in Manila due to poor queueing system, crowd management and information dissemination. Who should take responsibility for this mess? #COVID19PH💉",-1,en,Response
"I'm glad #publictransport will be available but it doesn't make sense na bawal maghatid-sundo ng #APOR. Hindi naman bara-barangay sasakay. Plus, mas gugustuhin mong makipagsiksikan sa iisang sasakyan (kahit pa 50% lang)? Strange. #COVID19Ph https://t.co/3nAwRADlme",-1,tl,Lakbay
WHO country rep Rabindra Abeyasinghe commended the government for being able to delay the entry of the delta virus in the Philippines with strict quarantine and testing protocols for travelers and the imposition of travel bans. #COVID19PH💉,1,en,Lockdown
Thank you! #COVID19PH💉,1,en,Quarantine
"Bawal ang indoor and al fresco dining starting tomorrow but pwede ang salon/ spa... When the State cooperates in your #BalikAlindog efforts Thank you ha😊 ang gusto kong #ayuda: keto bread, adlai, or Lululemon OOTD😉 #ECQSeason3 #ECQ #COVID19 #COVID19PH",1,en,Lockdown
i'm glad i was able to travel again before #gcq #ecq #covid19ph #metromanilahardlockdown #lockdownagain #deltavariant 🥺🥺🥺 https://t.co/XoqGimGAJh,1,en,Lockdown
Wouldn't it be a tad bit more logical to aim for eventual de-escalation? Why do we go stricter LATER? If sa tingin mo need na maging strict bakit hindi yun muna tapos mamaya ka lumuwag? Lol... bakit kailangan bigyan muna ng headstart si #Delta? #COVID19PH #BBQ #ECQ2021 https://t.co/kdxDdHhxIC,0,tl,Regulasyon
Praise God! My whole household is now fully vaccinated. But as before we continue to practice health protocols. #COVID19PH💉,1,en,Response
@attyharryroque @SecDuque #IATF @ntfcovid19ph @DOHgovph TAPOS NA PO BA YUNG EXPERIMENT NATIN? FACE SHIELD AT LOCKDOWN PO BA ANG CONCLUSION AND RECOMMENDATION??? #LockdownLikeNoOther #Experiment #COVID19PH https://t.co/BRKL4mJodS,-1,tl,Regulasyon
POPSTERS BA KAYO? IKOT-IKOT ATA THEME SONG NIYO PAG MAY MEETING. 🙄. #IATF @ntfcovid19ph @DOHgovph @SecDuque @attyharryroque #COVID19PH,-1,tl,Regulasyon
#WeAreFullyVaccinated Volunteer Vaccine Post-Monitoring Team Philippine Red Cross / Arcovia City #Resbakuna2021 #CovidVaccinated #Covid19ph #PhilippineRedCross #PasigCity @ Arcovia City https://t.co/bVl34pc6VP,1,en,Quarantine
Huwag magpatumpik-tumpik. Magpabakuna na. Baka abutan ka pa ng delta variant. #COVID19PH💉,0,tl,Regulasyon
Covid deaths rise in Vietnam #COVID19PH💉 https://t.co/5tsqqT7DCi,1,en,Quarantine
Steep rise in cases in Vietnam #COVID19PH💉 https://t.co/fkoj3uAR08,1,en,Quarantine
"Marcus finally got out of the house attending mass with other kids! #covid19ph #covidfree #GetVaccinated @ Pamatawan, Zambales, Philippines https://t.co/qyX3NiFwk9",1,en,Quarantine
Oh no! Nagbabadya na naman ang ECQ. 😱😭 #Covid19ph,-1,tl,Regulasyon
ETO NA 😞 #COVID19PH https://t.co/I9Tv9lYd5V,0,tl,Regulasyon
Daily new confirmed deaths per million people in Southeast Asia #COVID19PH💉 https://t.co/y4r1EtnAvB,-1,en,Quarantine
Daily new confirmed deaths in Southeast Asia #COVID19PH💉 https://t.co/BADIw1g8OC,-1,en,Quarantine
"Hindi maganda ang nangyayari sa South East Asia ngayon. Kahit pa mababa ang cases natin than usual. Look at the active cases of Indonesia, Malaysia, and Thailand. It really means pwede tayong magaya sa kanila anytime soon kapag sobrang kampante na naman tayo. #COVID19PH https://t.co/DXixMlFToX",-1,tl,Balita
1 million doses of Sinovac arrived in the country this morning. Another 1.5 million more are expected to arrive on July 17. #COVID19PH💉,1,en,Response
Daily new confirmed cases per million people in Southeast Asia #COVID19PH💉 https://t.co/yGTFFKitF4,-1,en,Response
1st dose ☑️ at SM Manila. 06-July-2021 Hibernate muna ako. #VaccineNation #Covid19PH #AlertoManilenyo,1,tl,Regulasyon
Shoutout to Taguig City for conducting regular free RT-PCR tests for residents in our community. #COVID19PH,1,en,Response
The @QCGov has terminated its contract with Zuellig Pharma’s eZConsult after a series of system crashes and advises residents to use this portal instead. https://t.co/Zs4LjJLv3t #COVID19PH,1,en,Quarantine
"Habang tayo'y bumabyahe, maging proactive sa pagpapababa ng exposure risks sa #COVID19. Alamin ang mga local guidelines sa lugar ng iyong pupuntahan. Ugaliing sumunod sa minimum public health standards upang mapangalagaan ang sarili at mga mahal sa buhay. #TravelSafely #COVID19PH https://t.co/e8BQGRCUf5",0,tl,Lakbay
"Isko cancels the no walk-in policy in Manila saying it’s ineffective. But in other LGUs it’s working just fine. What say you, @DOHgovph? #COVID19PH",-1,en,Response
. @IskoMoreno It's just 4am but 2-3k are already lined up outside Robinsons Manila. No social distancing. They will probably have to stay in line until they get vaccinated in the afternoon.Gawin naman sanang makatao ng City Govt ang distribution ng vaccine.#COVID19PH @gmanews,-1,en,Quarantine
"Gulo ah. Pag ganito ba ka-inconsistent, seseryosohin niyo pa? At tsaka bakit ba pati pag-faceshield kelangan talaga Pres of the PH pa ang magdecide? Ano silbi ng IATF, DOH? 🤦‍♂️🙄 #COVID19PH",-1,tl,Regulasyon
Sure na ba kayo jan? Hahaha! 😂 #covid19ph #faceshield https://t.co/e4PO0wl9sW,-1,tl,Balita
I don’t know with you but I’ll follow the science and continue wearing my face shield. It gives added protection. The delta variant is airborne and much more transmissible. #COVID19PH,1,en,Quarantine
"50,000+ accosted for not wearing face masks, and many others for not following social distancing rules. Then one wonders why the cases are not decreasing faster, this is saddening. It seems mass vaccination is the only remaining solution. #COVID19PH",-1,en,Response
"...health center if you’ve already registered to take the vaccine, Southies. That’s the time you can wait for their call re: your schedule. Let’s all get ourselves vaccinated!💪🏼💉 (5/5) #southsnippets #southlife #legitsouthie #vaccineupdate #paranaque #covid19ph https://t.co/GUPtD5R2s5",1,en,Quarantine
"SINOPHARM finally gets approval from the Philippine FDA, weeks after the WHO granted emergency use authorization to the vaccine for its safety, efficacy and quality. #COVID19PH",1,en,Response
"👏 More COVID 19 vaccines have arrived for Northern Mindanao. #RESBAKUNA #BIDABakunation #BIDASolusyon #COVID19PH @ Cagayan de Oro, Philippines https://t.co/CDLhLXcbb7",1,en,Response
"WHO has affirmed Sinovac’s safety, efficacy and quality. This should put a stop to whatever discrimination it has received from the public. #COVID19PH",1,en,Response
"Honestly I’m more confident now when going out of the house, knowing that I’m vaccinated and protected. But I still practice health protocols. #COVID19PH",1,en,Quarantine
"On third and worst wave, Thailand’s weekly cases ramain high after two months of outbreak. #COVID19PH https://t.co/Y0jYGdRBEg https://t.co/hFRG0xDonP",-1,en,Quarantine
"News reports say Vietnam has detected a new highly transmissible variant that combines the features of the Indian and UK variants. At the same time, the country is dealing with a spike in infections that started in May. #COVID19PH https://t.co/EteMDhxxQH",-1,en,Quarantine
Look! #Philippines is no.3 in ASEAN covid-19 Recovery Rate. #COVID19 #COVID19PH #COVID19Pandemic #ASEAN https://t.co/t0YCNzLj45,1,en,Response
"So far sa mga nabakunahan na ng COVID-19 Vaccines for any brand, wala naman napapabalitang namatay dahil sa bakuna. Di gaya ng pinapanalangin ng mga makakaliwa. #ManigasKayo #COVID19 #COVID19PH",-1,tl,Balita
"GOOD NEWS: People who have had mild Covid-19 illness develop antibody-producing cells that can last a lifetime, according to a study published in Nature. #COVID19PH https://t.co/BBklFjFVb9",1,en,Quarantine
"Ayuda sa Bakuna Offer incentives to unvaccinated individuals, why not? #COVID19PH",1,en,Response
"There are rooms for improvements; nonetheless, overall I’m happy with the orderly &amp; streamlined vaccination service of @QCGov with @AranetaCity at @TheBigDome. I encourage my fellow QCitizens to take advantage of this, regardless of vaccine brand. #QCProtektodo #COVID19PH https://t.co/v2l9beVDrk",1,en,Response
This bias towards a particular brand is a result of misinformation and some experts and media are partly to blame. #COVID19PH,-1,en,Response
You are putting your life and the lives of other people on the line if you delay your vaccination by waiting for your preferred vaccine and not take the vaccine that is readily available. Be vaxxed asap. #COVID19PH,-1,en,Response
Getting my in-laws vaccinated! #covidfree #GetVaccinated #covid19ph @ SM City Olongapo Central https://t.co/pZFEacH7Qm,1,en,Response
Random thought: I miss those times when i was only worrying if mcdo has unli-gravy or burger king still has unli-drinks when I dine-in. Hoping for everything to be normal again. #COVID19 #covid19ph,1,en,Quarantine
Covid-19 2nd jab done! #Thankful #Grateful #Blessed #BeatCOVID19 #WeHealAsOne #COVID19PH @ Batasan Hills National High School https://t.co/MRVhEkaz23,1,en,Response
"I’m afraid that those who are not vaccinated will be discriminated against one way or the other, such as in travel and work. #COVID19PH",-1,en,Quarantine
I hope they won’t turn the vaccine brand into a status symbol. That will be the height of ignorance. #COVID19PH💉,1,en,Quarantine
Let us prevent the virus to spread and mutate until it dissipates. Be vaccinated💉 #COVID19PH,1,en,Response
Kahit anung sistema or panukala or anu anu man.. kung walang DISIPLINA ang tao! Hindi sumusunod sa sinasabi hindi tayo matatapos dito.. DISCIPLINE is the key for CLEANLINESS... #COVID19PH #COVID19,0,tl,Regulasyon
"@POTUS Now give it to your former #colonies, to which you have an enduring obligation because of a half century of #oppression. #covid19ph",-1,en,Response
Wear your #face_mask and #face_shield always.. Ugaliing sumunod lagi sa #HealthProtocol para di sisihin ang gobyerno at manawagan ng Duterte Resign 😊😉 #COVID19 #COVID19PH https://t.co/emhkjNGBZc,0,tl,Regulasyon
I’m a survivor.. #coronavirus #COVID19PH #COVID19 #CovidSurvivor #CovidSurvivor #covidrecovery https://t.co/WDErm4xGnw,1,en,Quarantine
"While we can’t simply compare the current pandemic with the 1918 influenza pandemic, we can learn from its lessons. #COVID19PH",1,en,Response
Kayong mga reklamador sa NCR check this out.. #COVID19 #Covid19Manila #Covid19NCR #COVID19PH,-1,tl,Balita
"I can update on real-time my eZConsult health passport to report any adverse effect of the vaccination. So far, none🙏🏻 Second dose is confirmed on May 9. #COVID19PH",1,en,Response
PH is now 5th among Asean countries in terms of the proportion of the total population that already received at least one Covid-19 dose. #COVID19PH https://t.co/Sj0TbepxXn,1,en,Response
"After 28 days, I have to go back to the same vaccination site for the second dose of the same vaccine. #COVID19PH #Sinovac",1,en,Response
Relatively orderly at Kaligayahan Activity Center. They checked my QR code for verification. #COVID19PH @QCGov https://t.co/ejZX8Aeh3w,1,en,Response
I had my first dose of the COVID-19 vaccine (AZ) last March 11! Walk with me thru the whole process! Follow me on Tiktok @redsablay for the whole video! ♥️💙💯 #viral #trending #COVID19PH #vaccinated #vaccine #VaccinesWork #healthtok #pinoyMD https://t.co/pnHRV5pWWv,1,en,Response
"anong hospital kaya yung na grant ng Ivermectin? Para maiwasan, kahit puno-an ngayon. @DOHgovph @FDAPhilippines #ivermectin #COVID19PH #palpak #ECQSeason2",0,tl,Regulasyon
Vaccinated na! 💉❤️ thank you Manila Mayor @IskoMoreno and Vice Mayor Dra. @HoneyLacuna #ManilaVaccination #COVID19 #COVID19PH #VaccinationIsTheSolution https://t.co/lVvH5zLXz3,1,en,Response
Sige po susunod po kami Kahit may alam kami dyan na Hindi sumusunod. #COVID19PH https://t.co/BySrC6KUJf,-1,tl,Regulasyon
"However, this unfairness, these inequities and inequalities are preventable. #WorldHealthDay #HealthForAll #NoInequalities #MOREVIRALTHANTHEVIRUS #MVTTVPH #viral #trending #COVID19 #COVID19PH #SustainableDevelopment https://t.co/HC6D1TjfcU",-1,en,Quarantine
"Dami ko na kakilala namamatay. Ung vendor agency namen sa office, 3 patay cos of covid. We live each day na lang talaga to survive. Wala na mga long-term goals. Tsaka na muna ang mga pangarap. Arawan na lang ang plano. Tigil na pls. 😭🙏🥺 #COVID19PH",-1,tl,Balita
"Hello, I am recovering from COVID19. Di talaga ako pala ask ng help, but at this point, I need help. https://t.co/Ml0eR3kEqe #COVID19PH #COVID19 #CovidSurvivor #RecoveryChallenge #covidrecovery",-1,en,Quarantine
"1 year and getting worse... are we still alive, PH? #COVID19 #COVID19PH",-1,en,Response
"Hi, I’m recovering from COVID, but the finances is getting difficult. Your assistance will surely help. Sharing this will also help. Thank you. Medical Assistance - Recovery from COVID https://t.co/ZOFLEjvsBp via @GoGetFunding #GoFundMe #HELP #HelpMe #COVID19PH #COVID19 #Covid",-1,en,Quarantine
Ganoon ba talaga dapat palagi? Nakakapagod maging healthcare worker dito sa Pilipinas pero kailangan ba talangang tanggapin nalang ang kaluno-lunos na kalagayan natin? Lalo na sa mga mahihirap na sitwasyon na ito. ISANG TAON NA PERO WALA PA RIN PAGBABAGO! #COVID19PH,-1,tl,Balita
Nagsalita na po finally ang IATF . “Extend the ECQ for another week. “ Yun na po yun. #COVID19PH https://t.co/LxUiterosP,1,tl,Balita
ECQ is extended for another week in the NCR and nearby areas. Grabeng penitensiya na rin 'to para sa mga Pilipino. #DutertePalpak #COVID19PH #SolusyongMedikalHindiMilitar,-1,tl,Balita
High likelihood that the remaining 22% available beds are reserved for VIPs and high ranking officials. @DOHgovph sana wag magkasakit mga pamilya niyo. #COVID19PH,0,tl,Balita
🥺🥺🥺🥺 #Covid19ph hayssst https://t.co/HM0pBP7ZuR,-1,en,Quarantine
Thank you @hannahbarrantes🙏🏼 #ECQSeason2 #ncrplus #covid19ph https://t.co/Scb3SPRxph,1,en,Lockdown
Sharing is caring... #Covid19PH https://t.co/o7MpVQwz3S,1,en,Quarantine
"Dear @TalktoBPI you do not really know how to take good care of your staff and clients. You have closed most of your branches due to ECQ, which led to many of your clients to flock to your branches that are open today and here we go, no social distancing! #GoodJobBPI #COVID19PH",-1,en,Lockdown
Worst time of all 👇👇👇that sharp rise 😭 #covid19ph 🇵🇭 pls be part of the solution! #apatdapat! https://t.co/gAY85VHczy,-1,en,Quarantine
"We have broken the record👇10,000 cases in one day! #covid19ph",-1,en,Response
At the rate we 🇵🇭 are going? It'll take us 12 yrs to arrive! #COVID19PH,-1,en,Response
"*about to extract* patient: ""pagalingin niyo po ako ha? para makabalik na ko sa trabaho, kawawa din mga anak ko nag aaral pa sila"" 🥺💔 #covid19PH",0,tl,Balita
"Herd immunity ang gusto namin, hindi herd infection! Ano na plano, Duterts and friends?! 😱😭😭 #COVID19PH",-1,tl,Regulasyon
Kung kelan nagkaroon ng vaccine saka lumubo dami ng positive? Like... wtf. 😒 #COVID19PH,-1,tl,Regulasyon
"Roque, don't ask God ""why"" for this government's incompentence in handling the #covid19ph pandemic...",-1,en,Response
Sh*t got real. ECQ Season 2 starts tomorrow! ⚠️⚠️⚠️ #ecq2021 #ECQSeason2 #COVID19 #COVID19PH,-1,en,Lockdown
"Kayo ang nagtagumpay, hindi ang ordinaryong mamamayang Pilipino. 😡😢 #DutertePalpak #ECQAgain #Covid19ph ccto @iMPACTPH2019 https://t.co/MsCUxvXkgv",-1,tl,Balita
Sana naman hindi ka magdilang-anghel sa 2 years. #ECQ #BackToECQ #COVID19PH #NCRPlus https://t.co/epKPYG2mhh,0,tl,Balita
Now it's confirmed! Clear Implementing Guidelines na lang. #ECQ #COVID19PH #NCRPlus https://t.co/6KJ2JpkAo9,1,en,Quarantine
Ano 6:02 pm na? Pati ba naman sa announcement late pa rin? No wonder. #ECQ #COVID19Ph #NCRPlus,-1,tl,Balita
The best and brightest talaga! #DutertePalpak #COVID19PH #HarryRoquePalpak #HarryRoqueResign https://t.co/MeIjwB5SO1,1,en,Response
MAYOR @rex_gatchalian PAISA LANG PO please.... Patulong posa kaibigan kopo #COVID19PH,-1,tl,Balita
Well what do you know! Spox @attyharryroque has finally captured the sentiment of Filipinos these days! #PhilippineVariant #COVID19PH,1,en,Quarantine
1555 and (02) 894COVID are still fully operational and available 24/7. Please take note and spread to save lives! #viral #trending #COVID19 #COVID19PH #Pilipinas #pandemic #telemedicine #teleconsult #DOH #emergency @DOHgovph 🇵🇭💯📞☎️ https://t.co/MO5teJPDG5,1,en,Quarantine
Ayoko na lang mag-expect. Asa pa ba? ☹️🙏 #covid19ph https://t.co/UlmDjU2dWb,-1,tl,Regulasyon
91 freaking thousand! Higher than last year's. WTF 🤒 #COVID19PH,-1,en,Quarantine
"No matter how you try to protect yourself with mask and faceshield, you will still get exposed. Stay home, people! Do work from home as much as possible. Day 4 of self quarantine after getting exposed in the office and experiencing minor symptoms 🤒 #COVIDー19 #COVID19PH",1,en,Quarantine
France’s vaccination drive has been relatively slow partly due to delayed vaccine supplies and confusion on the safety of inoculation. The number of new cases is “exploding” and hospitals are likely to be hit by a “wave of unprecedented violence”. #COVID19 #COVID19PH @BBCNews,-1,en,Response
"The heads of Catholic and Protestant churches are complaining about in-person religious services being cancelled, arguing their social distancing measures made attendance safe. This is in Germany where big family gatherings are also banned. #COVID19 #COVID19PH via @BBCNews",-1,en,Quarantine
Lockdown measures in the Netherlands are also to continue until April 20 because of a “worrying and uncertain” Covid situation. A curfew since January remains in effect. #COVID19 #COVID19PH via @BBCNews,-1,en,Lockdown
The pandemic really hits on a personal level especially when someone dear to you becomes one of its casualties. #COVID19PH,-1,en,Quarantine
"Tay... baka naman po you want to sit this one out muna? Wawa naman po kayo eh... kahit naman sinong pagod nagiging forgetful... baka po you need to take a rest, ask for a timeout and substitute?😅 Pahinga po muna... we will be ok. Very ok. #COVID19PH #PhilippineVariant",-1,tl,Balita
"Kung Lizquen fan ka and DDS din, ang gulo mo. Pili ka. Sa maganda or sa pangit na nga mamuno, pangit pa ang itsura? #DutertePalpak #COVID19PH",0,tl,Balita
"Based on data or experimental ulet? How long will this govt understand that band-aid solutuons WONT work?! Bilisan ang vaccine distribution, mas aggresive na contact tracing, mas madaming quarantine facilities. 🤦‍♂️😭😡 #COVID19PH",-1,en,Response
"Dati allergic ako sa labels. Mahirap na. May expectations. May rules. Pero... sa relationships yun. Sa vaccine at plano ng gobyerno sa #CoVid19, put a ring on it, pwede?💍💍💍 Bawal undefined. #MyCoVidLoveAffair #COVID19PH",-1,tl,Regulasyon
Having some worries or confusions about the latest government announcement? Check this primer from the DOH for answers to Frequently Asked Questions about the restrictions from March 22 to April 4: https://t.co/cwsJx3BGEi #COVID19 #COVID19PH #MVTTVPH #BeatCovid #BIDASolusyon https://t.co/UNs8NP9ISA,-1,en,Quarantine
Balik GCQ na naman! Hays... Ano ba talagang problema sa Pilipinas? Corrupt na gobyerno? Kawalan ng disiplina ng mga tao? Ano?! #COVID19 #COVID19Vaccine #covid19ph #GCQ https://t.co/0V8qufayiZ,-1,tl,Regulasyon
"Exactly what I’m thinking. Sa dami namen napuntahan since nag-GCQ, ni-isa walang tumawag sameng contact tracer. Ano, lahat ng nag-positive, dun lang sa mga hindi namen napuntahan?! #DutertePalpak #COVID19PH",-1,tl,Regulasyon
Almost 8000 New COVID19 cases. WTF?! Di na ako magtataka kung magdedeclare ulit ng ECQ or MECQ. Grabe!!! After a year parang back to zero or worse ang nangyari. #COVID19 #COVID19PH https://t.co/p02HVLVObS,-1,tl,Balita
"OMG! the numbers. excellent pala ha. ‘tang na nyo, mga inutil! 😱😱😱 #covid19PH #covidPH",-1,tl,Balita
"If napanuod niyo ung movie na Deep Impact, parang ganun tayo ngayon. Naghihintay na lang tumama ung meteor. Wala na magawa. Just a matter of time. Kaiyak. Well, happy weekend pa din. ☹️😡 #Covid19PH #DutertePalpak",-1,tl,Regulasyon
"I support the proposed “circuit breaker” lockdown for two weeks, to begin on Monday, March 22, and to end on Resurrection Sunday, April 4. Consider it as a longer lenten period. #COVID19PH",1,en,Lockdown
"ONE WAVE, NEW PEAK 7,103 new cases, the highest ever #COVID19PH",-1,en,Quarantine
"Grbae 7,103 New Cases!!! Mag-ingat tayong lahat. FOR THE PEOPLE - Practice Minimum Health Standards. FOR THE GOVERNMENT - Expedite the Vaccination program. #COVID19 #COVID19PH Credits to @DOHgovph &amp; @PhilippineStar https://t.co/BN0WCVQo7D",-1,en,Quarantine
Take this to hearing sir @iampinglacson. Hindi naman nakikinig admin sa social media. #COVID19PH #DutertePalpak,1,tl,Balita
"This is the problem with our government regardless of the administration, they are so slow to response. What they do first is publicity and politics. #COVID19 #COVID19PH",-1,en,Response
"Ok after ng HCW, general population na ang babakunahan. Sana naman, may solid plan na on how are they going to do it. May listahan ba, need ba pumunta sa hospital, or vice-versa? Parang awa niyo na #IATF @DOHgovph, ayusin nio naman. #covid19ph",-1,tl,Lakbay
"Hndi, ok na. Iwan niyo na kami. Kahit ghosting keri lang din. 🥴🤦‍♂️ #COVID19PH",-1,tl,Lakbay
🇩🇰❤🇵🇭😭🙏 439 days #LagingHandaPH #COVID19PH #WeHealAsOne #workingPCOO #LoveIsNotTourism @RightToLovePH @timetoreunite @TourismPHL @DFAPHL So frustrated with all the begging. You people don't even care. https://t.co/jh10VvQEfa,-1,en,Quarantine
"Remember this day and all days that followed. Remember the casualties, the sacrifices, and the lost opportunities the past year. Let us not allow history to repeat itself. #COVID19 #COVID19PH #OnThisDay #MOREVIRALTHANTHEVIRUS #MVTTVPH #trending #viral #health",-1,en,Quarantine
"A high-ranking official contracting COVID while our country marks an ENTIRE YEAR on lockdown while incurring billions in debt, yet still failing to give a decent response, is sufficient enough to prove the incompetence of this administration. #DutertePalpak #COVID19PH",-1,en,Lockdown
Excellent handling pala ha. 🥴 #covid19ph #HarryRoque,0,tl,Regulasyon
"A YEAR AFTER....Remember the nurses, doctors, frontline workers, the grandparents, parents, daughters, sisters, sons, brothers, friends, co-workers who died from #COVID19PH",-1,en,Response
